Time Step,Label Index,Name (NA),2-rKRT-by-DSM (nm),1-rKRT-by-DSM (nm),0-rKRT-by-DSM (nm),0-rKRT-by-face (nm),1-rKRT-by-face (nm),Voxel count,Volume (nm³),Min Feret Diameter (nm),Mean Feret Diameter (nm),Max Feret Diameter (nm),Surface Area (Lindblad 2005) (nm²),Cell
0,72,,190.0315709,893.4696325,1697.570042,901.9179856,190.0315709,74,4736,18.93426694,34.84333056,38.75996491,2304.864,B
0,73,,776.8963997,1366.185984,2012.242476,1414.716962,776.8963997,77,4928,10.05473996,27.13559602,57.26621252,2861.328,B
0,74,,260.491845,894.2571981,1537.936214,911.5524904,260.491845,82,5248,12.00010047,33.68955084,60.48430586,2633.728,B
0,75,,468.6832824,986.5170796,1973.759936,986.5170796,468.6832824,139,8896,16.69828342,48.11425848,64.51320689,3689.92,B
0,76,,74.51174611,3436.691259,3178.059842,3178.059842,74.51174611,160,10240,15.05293644,54.64711083,81.27500166,5803.36,B
0,77,,173.8505091,2394.052672,2347.383088,2347.383088,173.8505091,168,10752,12.65401657,36.44671634,64.49730488,4452,B
0,78,,370.4483618,2459.37872,2001.383564,2001.383564,370.4483618,170,10880,44.75791178,63.77909737,72.22046758,6814.72,B
0,79,,220.0363554,1522.660796,2936.438705,1522.660796,220.0363554,176,11264,12.41306655,34.15936567,63.24590382,4461.92,B
0,80,,1458.360771,1085.217036,941.5901445,941.5901445,1126.403163,217,13888,14.78421688,60.45930028,106.1887946,8809.392,B
0,81,,174.4018334,327.4385563,948.5736996,391.2850559,174.4018334,313,20032,15.20319884,48.39543533,101.258971,7631.968,B
0,82,,478.9655463,2098.220193,77.35631868,77.35631868,478.9655463,334,21376,22.78406582,48.05699331,70.0581752,6235.904,B
0,83,,197.666381,1160.041393,1084.405767,1084.405767,197.666381,352,22528,17.81463117,43.76461025,76.05212855,6649.84,B
0,84,,1329.318593,1079.659228,697.4926237,697.4926237,1079.659228,379,24256,17.25011339,63.52858234,103.2278882,10643.728,B
0,85,,26.83281508,1020.352897,1148.863817,1041.114729,26.83281508,390,24960,20.66836138,57.67271961,107.1407019,8035.552,B
0,86,,153.9350478,2200.167273,2382.865659,2200.167273,153.9350478,402,25728,21.36744879,39.1514656,67.02767618,6335.584,B
0,87,,659.4422075,2677.497378,2161.732709,2161.732709,659.4422075,407,26048,16.00005817,48.46791278,79.39748338,8064.192,B
0,88,,605.1644732,1854.697757,1787.078077,1787.078077,605.1644732,426,27264,20.06570824,71.02430131,83.9827419,8118.72,B
0,89,,199.5194197,2552.830438,2053.597882,2053.597882,199.5194197,445,28480,14.39154362,56.36323269,95.07117924,9320.896,B
0,90,,206.2619586,1546.309136,1249.294201,1249.294201,206.2619586,456,29184,18.52587851,84.9273438,121.3991144,10207.472,B
0,91,,239.3992418,349.1933569,714.0756679,391.4485944,239.3992418,463,29632,15.40219851,58.41684622,105.6747949,11038.48,B
0,92,,251.0458046,2013.526228,2578.104841,2013.526228,251.0458046,541,34624,22.18848993,71.31703757,119.3203984,11885.04,B
0,93,,146.9693842,1024.21086,1377.499188,1040.999564,146.9693842,575,36800,21.51592764,63.40057194,96.66372729,9593.68,B
0,94,,1101.199359,574.7904197,1057.771215,574.7904197,622.1511057,588,37632,23.3165302,75.99553112,168.9199333,14917.856,B
0,95,,80.99382853,4224.524673,2008.677257,2008.677257,80.99382853,645,41280,33.03528316,66.45152279,113.839052,14123.696,B
0,96,,1059.056217,1226.565928,1335.934144,1226.565928,1059.056217,649,41536,27.65977637,71.08006833,118.1166892,13254.08,B
0,97,,1918.082489,2291.671763,3916.639344,2307.341219,1918.082489,694,44416,21.89385026,60.97306685,101.3967459,12584.048,B
0,98,,992.7819065,1333.110617,1134.386139,1134.386139,992.7819065,696,44544,24.30347895,52.22759276,82.98532182,9606.288,B
0,99,,408.8031176,1662.393402,1167.362825,1167.362825,408.8031176,762,48768,25.2867653,52.58613151,98.79219311,11109.872,B
0,100,,857.764519,1546.593694,2368.226205,1562.741204,857.764519,771,49344,57.64643868,92.73877994,124.9803318,13881.936,B
0,101,,145.6571255,1566.989454,831.2400723,831.2400723,145.6571255,834,53376,28.6366165,64.90853401,90.76203757,11371.488,B
0,102,,4970.833288,5360.807336,5166.808023,5166.808023,4970.833288,861,55104,23.99997356,54.0963457,84.75827153,10598.192,B
0,103,,590.5658327,1615.197789,1460.832664,1460.832664,590.5658327,958,61312,25.09499144,68.4355966,125.2795736,14288.336,B
0,104,,665.0834052,2385.42566,2232.247425,2232.247425,665.0834052,981,62784,16.95856925,79.10185724,204.2817197,20435.648,B
0,105,,97.48845997,1409.487822,720.5442216,720.5442216,97.48845997,1231,78784,34.40337154,69.99105314,117.0919306,17038.688,B
0,106,,52.00000075,911.2803809,3511.665,911.2803809,52.00000075,1237,79168,57.74006052,119.2876917,195.3456517,30277.856,B
0,107,,37.94733416,1139.54377,873.0727359,873.0727359,37.94733416,1270,81280,30.55764506,83.5085469,137.1417487,20084.976,B
0,108,,2892.64176,2502.613142,2340.499123,2340.499123,2518.590009,1328,84992,28.46018752,87.89708082,143.9030392,16014.48,B
0,109,,2424.495051,3037.16979,2922.89451,2922.89451,2424.495051,1367,87488,39.36808896,81.99933259,113.873462,15907.52,B
0,110,,4594.182428,5015.479928,4803.641787,4803.641787,4594.182428,1475,94400,23.96240909,84.18061228,156.8680852,22526.432,B
0,111,,743.3222891,2358.999836,189.3567969,189.3567969,743.3222891,1557,99648,25.92687127,73.99553082,136.697886,21204.192,B
0,112,,225.8140768,1333.230671,3041.518085,1333.230671,225.8140768,1664,106496,33.28394642,112.1710536,149.9241701,26326.464,B
0,113,,153.3101397,1354.134383,863.240416,863.240416,153.3101397,1673,107072,23.99997356,79.25933549,150.7836012,23017.856,B
0,114,,184.4342705,2829.795676,2636.73428,2636.73428,184.4342705,1723,110272,26.5228176,77.87078848,154.5038317,23007.856,B
0,115,,444.1441206,657.8510465,3796.372994,657.8510465,444.1441206,1761,112704,31.1804025,72.23936291,124.8950028,18861.568,B
0,116,,1836.771048,2465.853186,3314.339665,2492.237627,1836.771048,1764,112896,46.73838643,102.2719526,112.7070631,21482.384,B
0,117,,24.00000021,3043.437573,2795.384944,2795.384944,24.00000021,1767,113088,45.66263168,68.21385476,96.70616004,17696.08,B
0,118,,147.9459399,2936.305236,2631.893722,2631.893722,147.9459399,1847,118208,34.4142416,79.4187785,145.5658748,22443.088,B
0,119,,1627.021788,395.0696055,651.3493531,399.3194184,395.0696055,2230,142720,25.46987889,105.5152718,216.5126314,33162.864,B
0,120,,417.6314405,585.1632068,476.4031871,476.4031871,417.6314405,2509,160576,26.95195778,80.81000377,156.2043082,27622.48,B
0,121,,1364.304921,1159.786166,760.7575299,760.7575299,1159.786166,2816,180224,41.99768196,133.6313959,226.051777,43073.904,B
0,122,,450.9190603,604.1191796,15.99999955,15.99999955,450.9190603,2889,184896,35.7608939,128.0763199,284.0001798,42054.752,B
0,123,,1647.276576,262.7241713,643.8633022,265.8721598,262.7241713,3026,193664,36.00007403,99.04037603,192.2368052,36526.928,B
0,124,,1790.38318,56.00000108,286.0768973,80.09993735,56.00000108,3226,206464,51.93279887,102.761383,180.8572946,42420.88,B
0,125,,312.3843726,2208.358637,2426.012315,2208.358637,312.3843726,3323,212672,36.87684335,93.22219013,190.0183286,31519.92,B
0,126,,43.08131807,1116.372687,1050.066658,1050.066658,43.08131807,3451,220864,52.19983972,137.9930567,175.5204754,45154.208,B
0,127,,140.7408945,3259.894356,2967.377213,2967.377213,140.7408945,3578,228992,33.9871529,94.91829598,165.3359305,37446.832,B
0,128,,271.9999941,4265.915322,2008.848469,2008.848469,271.9999941,3762,240768,38.99188682,90.61041247,178.8855801,36899.088,B
0,129,,2101.519385,2710.766694,3133.136488,2736.812803,2101.519385,3910,250240,58.83871567,149.8738181,171.9413695,36232.192,B
0,130,,1161.47487,771.1809076,4029.741376,785.1929809,771.1809076,4102,262528,46.0232716,112.8306832,223.4604175,44855.712,B
0,131,,614.0879236,600.0666417,292.0547786,292.0547786,614.0879236,4149,265536,60.0000476,123.6134514,173.661238,41752.912,B
0,132,,707.3895176,738.4957712,541.8929732,541.8929732,707.3895176,4226,270464,32.23813193,142.075781,316.455383,51993.68,B
0,133,,190.3680698,772.4558486,1486.526116,798.2580996,190.3680698,4764,304896,36.75364919,120.8661257,296.0950732,52320.576,B
0,134,,229.3992196,1565.472417,2736.356691,1565.472417,229.3992196,4953,316992,32.00011633,133.6224935,311.2958766,54020.576,B
